,Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
82,Thailand,0.015,49.05165609584215,8529.0,122725247706.0,67.0,0.019,0.0,0.078,75.0,0.0,5971526,1
83,Timor-Leste,0.043,49.05165609584215,8529.0,350100000.0,19.0,0.084,0.1,0.119,61.0,0.5,853585,0
84,Turkmenistan,0.024,49.05165609584215,35365.0,2904662605.0,44.0,0.066,0.0,0.119,68.0,0.0,4501419,0
85,Uzbekistan,0.021,49.05165609584215,8529.0,13760374488.0,29.0,0.053,0.0,0.119,70.0,0.0,24650400,0
86,Vietnam,0.017,49.05165609584215,53645.0,33640085728.0,20.0,0.027,0.0,0.106,78.0,0.0,5971526,1
87,Albania,0.019,49.05165609584215,3022.0,3686649387.0,70.0,0.023,0.0,0.221,77.0,0.0,3089027,2
88,Andorra,0.011,49.05165609584215,524.0,1133644295.0,193.0,0.004,0.1,0.119,75.0,0.4,65399,2
89,Austria,0.01,49.05165609584215,63696.0,192070749954.0,193.0,0.005,0.3,0.119,81.0,0.8,8011566,1
90,Belarus,0.009,49.05165609584215,53469.0,12736856485.0,64.0,0.011,0.0,0.119,75.0,0.0,10005000,2
91,Belgium,0.011,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.3,0.08,81.0,0.5,10251250,2
92,Bosnia and Herzegovina,0.01,49.05165609584215,23223.0,5505984456.0,103.0,0.008,0.0,0.119,77.0,0.0,3834364,2
93,Bulgaria,0.009,49.05165609584215,43531.0,12903546765.0,98.0,0.018,0.1,0.113,75.0,0.1,8170172,2
94,Croatia,0.01,49.05165609584215,19644.0,21517784659.0,377.0,0.007,0.1,0.121,77.0,0.2,4426000,2
95,Cyprus,0.013,49.05165609584215,6850.0,9314937556.0,744.0,0.006,0.2,0.08,80.0,0.2,943287,2
96,Czech Republic,0.009,49.05165609584215,8529.0,58807244368.0,361.0,0.006,0.1,0.072,78.0,0.4,10255063,1
97,Denmark,0.013,49.05165609584215,47260.0,160082517846.0,193.0,0.005,0.4,0.081,79.0,0.6,5339616,1
98,Estonia,0.01,49.05165609584215,15181.0,5675697575.0,213.0,0.009,0.3,0.074,76.0,0.4,1396985,2
99,Faeroe Islands,0.02,49.05165609584215,711.0,1062339944.0,193.0,0.02,0.3,0.119,82.0,0.4,46491,2
100,Finland,0.011,49.05165609584215,52141.0,121793808734.0,193.0,0.004,0.4,0.056,81.0,0.7,5176209,1
101,France,0.013,49.05165609584215,8529.0,15493320082.0,193.0,0.004,0.1,0.067,83.0,0.5,5971526,2
102,Germany,0.009,49.05165609584215,8529.0,15493320082.0,193.0,0.004,0.3,0.096,81.0,0.6,5971526,2
103,Greece,0.01,49.05165609584215,91616.0,124418163928.0,918.0,0.007,0.1,0.123,81.0,0.5,10917482,1
104,Hungary,0.01,49.05165609584215,57238.0,46385589534.0,326.0,0.01,0.1,0.126,76.0,0.3,10210971,1
105,Iceland,0.014,49.05165609584215,2164.0,8697298234.0,193.0,0.003,0.4,0.168,82.0,0.8,281205,2
106,Ireland,0.014,49.05165609584215,41345.0,97331522066.0,193.0,0.006,0.2,0.048,79.0,0.6,3805174,1
107,Isle of Man,0.02,49.05165609584215,8529.0,1563667800.0,193.0,0.02,0.1,0.119,75.0,0.5,76806,2
108,Italy,0.01,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.2,0.07,83.0,0.7,5971526,2
110,Latvia,0.009,49.05165609584215,6241.0,7833068425.0,197.0,0.015,0.1,0.119,76.0,0.2,2367550,2
111,Liechtenstein,0.013,49.05165609584215,8529.0,2483890594.0,193.0,0.02,0.4,0.119,80.0,0.3,33093,2
112,Lithuania,0.01,49.05165609584215,12200.0,11434200000.0,212.0,0.01,0.1,0.121,78.0,0.2,3499536,2
113,Luxembourg,0.013,49.05165609584215,8240.0,20267551133.0,193.0,0.004,0.2,0.119,81.0,0.7,436300,2
114,"Macedonia, FYR",0.013,49.05165609584215,12064.0,3586883989.0,153.0,0.014,0.0,0.189,76.0,0.1,2052129,2
115,Malta,0.012,49.05165609584215,2065.0,3957418083.0,643.0,0.007,0.1,0.073,80.0,0.3,381363,2
116,Moldova,0.012,49.05165609584215,3513.0,1288420223.0,24.0,0.025,0.0,0.119,71.0,0.0,3639592,2
117,Monaco,0.02,49.05165609584215,8529.0,2647883820.0,193.0,0.004,0.4,0.119,75.0,0.4,32081,2
118,Montenegro,0.013,49.05165609584215,8529.0,984279596.0,121.0,0.013,0.1,0.119,77.0,0.5,611196,2
119,Netherlands,0.013,49.05165609584215,8529.0,15493320082.0,193.0,0.005,0.4,0.048,81.0,0.7,15925513,2
120,Norway,0.013,49.05165609584215,38808.0,168288531891.0,193.0,0.004,0.5,0.089,81.0,0.7,4490967,1
121,Poland,0.01,49.05165609584215,8529.0,171276118424.0,247.0,0.008,0.1,0.2,78.0,0.2,38258629,1
122,Portugal,0.012,49.05165609584215,62966.0,117299520914.0,1070.0,0.006,0.2,0.119,80.0,0.6,10289898,1
123,Romania,0.01,49.05165609584215,89985.0,37305099928.0,72.0,0.023,0.0,0.119,75.0,0.1,22442971,1
124,Russian Federation,0.009,49.05165609584215,8529.0,15493320082.0,96.0,0.02,0.0,0.119,72.0,0.0,5971526,2
125,San Marino,0.02,49.05165609584215,8529.0,773907642.0,193.0,0.005,0.5,0.092,84.0,0.5,26969,2
126,Serbia,0.01,49.05165609584215,8529.0,6082791506.0,51.0,0.011,0.1,0.063,75.0,0.5,7516346,2
127,Slovak Republic,0.01,49.05165609584215,37312.0,28724041828.0,208.0,0.01,0.1,0.149,77.0,0.2,5388720,2
128,Slovenia,0.009,49.05165609584215,14265.0,19979467790.0,831.0,0.005,0.2,0.158,79.0,0.6,1988925,2
129,Spain,0.01,49.05165609584215,8529.0,15493320082.0,1045.0,0.005,0.1,0.052,83.0,0.6,40263216,2
130,Sweden,0.01,49.05165609584215,49794.0,15493320082.0,193.0,0.003,0.5,0.058,82.0,0.7,8872109,1
131,Switzerland,0.011,49.05165609584215,39050.0,15493320082.0,193.0,0.005,0.5,0.043,83.0,0.6,7184250,2
132,Turkey,0.021,49.05165609584215,8529.0,15493320082.0,196.0,0.034,0.0,0.119,74.0,0.3,5971526,2
133,Ukraine,0.008,49.05165609584215,8529.0,31261527363.0,36.0,0.016,0.0,0.119,74.0,0.0,49175848,2
134,United Kingdom,0.012,49.05165609584215,8529.0,15493320082.0,193.0,0.006,0.3,0.06,80.0,0.7,5971526,2
135,Bahrain,0.021,49.05165609584215,18643.0,9063147901.0,476.0,0.011,0.1,0.116,76.0,0.3,668239,2
136,"Iran, Islamic Rep.",0.019,49.05165609584215,8529.0,101286514977.0,231.0,0.029,0.0,0.119,71.0,0.0,5971526,2
137,Iraq,0.036,49.05165609584215,72445.0,15493320082.0,7.0,0.036,0.1,0.119,73.0,0.5,23801156,0
138,Israel,0.022,49.05165609584215,62691.0,124895151203.0,193.0,0.006,0.2,0.128,81.0,0.7,6289000,1
